x exact spline1 spline2
2.35471 0.152796 0.155225 0.147502
2.37475 0.150615 0.153032 0.14613
2.39479 0.148478 0.150873 0.144784
2.41483 0.146383 0.148748 0.143459
2.43487 0.144329 0.146655 0.142149
2.45491 0.142317 0.144596 0.140849
2.47495 0.140343 0.142569 0.139553
2.49499 0.138409 0.140575 0.138256
2.51503 0.136512 0.138612 0.136953
2.53507 0.134651 0.136681 0.135641
2.55511 0.132827 0.134782 0.134323
2.57515 0.131038 0.132913 0.132997
2.59519 0.129282 0.131075 0.131666
2.61523 0.12756 0.129267 0.13033
2.63527 0.125871 0.12749 0.128988
2.65531 0.124213 0.125742 0.127643
2.67535 0.122587 0.124023 0.126294
2.69539 0.12099 0.122334 0.124942
2.71543 0.119423 0.120673 0.123588
2.73547 0.117886 0.11904 0.122233
2.75551 0.116376 0.117436 0.120876
2.77555 0.114894 0.115859 0.119519
2.79559 0.113439 0.11431 0.118162
2.81563 0.11201 0.112788 0.116806
2.83567 0.110607 0.111293 0.115451
2.85571 0.109229 0.109824 0.114099
2.87575 0.107875 0.108381 0.112749
2.89579 0.106546 0.106964 0.111402
2.91583 0.10524 0.105573 0.11006
2.93587 0.103957 0.104207 0.108722
2.95591 0.102697 0.102865 0.107389
2.97595 0.101458 0.101548 0.106062
2.99599 0.100241 0.100256 0.104741
3.01603 0.0990447 0.0989868 0.103427
3.03607 0.0978691 0.0977415 0.102121
3.05611 0.0967135 0.0965194 0.100823
3.07615 0.0955775 0.0953201 0.0995344
3.09619 0.0944608 0.0941434 0.098255
3.11623 0.0933628 0.0929887 0.0969857
3.13627 0.0922832 0.0918559 0.0957271
3.15631 0.0912217 0.0907445 0.0944799
3.17635 0.0901777 0.0896543 0.0932446
3.19639 0.089151 0.0885848 0.092022
3.21643 0.0881411 0.0875357 0.0908125
3.23647 0.0871478 0.0865068 0.0896169
3.25651 0.0861707 0.0854975 0.0884357
3.27655 0.0852094 0.0845077 0.0872696
3.29659 0.0842636 0.0835369 0.0861192
3.31663 0.0833329 0.0825848 0.0849851
3.33667 0.0824172 0.081651 0.0838679
3.35671 0.081516 0.0807353 0.0827682
3.37675 0.0806291 0.0798372 0.0816867
3.39679 0.0797562 0.0789564 0.080624
3.41683 0.078897 0.0780926 0.0795807
3.43687 0.0780512 0.0772455 0.0785574
3.45691 0.0772186 0.0764146 0.0775547
3.47695 0.0763988 0.0755996 0.0765733
3.49699 0.0755917 0.0748003 0.0756137
3.51703 0.074797 0.0740162 0.0746765
3.53707 0.0740143 0.073247 0.0737616
3.55711 0.0732436 0.0724924 0.0728683
3.57715 0.0724846 0.071752 0.0719964
3.59719 0.071737 0.0710254 0.0711453
3.61723 0.0710006 0.0703124 0.0703146
3.63727 0.0702752 0.0696125 0.0695038
3.65731 0.0695606 0.0689255 0.0687125
3.67735 0.0688566 0.068251 0.0679403
3.69739 0.0681629 0.0675886 0.0671866
3.71743 0.0674795 0.066938 0.066451
3.73747 0.066806 0.0662989 0.0657332
3.75752 0.0661423 0.0656709 0.0650325
3.77756 0.0654882 0.0650536 0.0643486
3.7976 0.0648436 0.0644467 0.063681
3.81764 0.0642082 0.06385 0.0630293
3.83768 0.0635819 0.0632629 0.062393
3.85772 0.0629645 0.0626853 0.0617717
3.87776 0.0623558 0.0621166 0.0611648
3.8978 0.0617558 0.0615567 0.060572
3.91784 0.0611642 0.0610051 0.0599928
3.93788 0.0605809 0.0604615 0.0594268
3.95792 0.0600056 0.0599256 0.0588735
3.97796 0.0594384 0.059397 0.0583323
3.998 0.058879 0.0588753 0.057803
4.01804 0.0583274 0.0583603 0.0572851
4.03808 0.0577832 0.0578518 0.056778
4.05812 0.0572465 0.0573496 0.0562813
4.07816 0.0567171 0.0568536 0.0557946
4.0982 0.0561949 0.0563637 0.0553174
4.11824 0.0556797 0.0558797 0.0548494
4.13828 0.0551714 0.0554015 0.0543899
4.15832 0.0546699 0.054929 0.0539386
4.17836 0.0541751 0.0544621 0.053495
4.1984 0.0536868 0.0540005 0.0530587
4.21844 0.053205 0.0535443 0.0526292
4.23848 0.0527296 0.0530932 0.0522061
4.25852 0.0522603 0.0526471 0.0517888
4.27856 0.0517972 0.0522058 0.051377
4.2986 0.0513401 0.0517694 0.0509703
4.31864 0.050889 0.0513375 0.050568
4.33868 0.0504436 0.0509102 0.0501699
4.35872 0.050004 0.0504872 0.0497754
4.37876 0.0495699 0.0500684 0.0493841
4.3988 0.0491414 0.0496538 0.0489955
4.41884 0.0487184 0.049243 0.0486092
4.43888 0.0483007 0.0488361 0.0482248
4.45892 0.0478883 0.048433 0.0478417
4.47896 0.047481 0.0480333 0.0474596
4.499 0.0470788 0.0476371 0.0470779
4.51904 0.0466816 0.0472442 nan
4.53908 0.0462894 0.0468545 nan
4.55912 0.045902 0.0464678 nan
4.57916 0.0455193 0.046084 nan
4.5992 0.0451414 0.045703 nan
4.61924 0.044768 0.0453246 nan
4.63928 0.0443992 0.0449488 nan
4.65932 0.0440349 0.0445753 nan
4.67936 0.043675 0.044204 nan
4.6994 0.0433194 0.0438349 nan
4.71944 0.0429681 0.0434677 nan
4.73948 0.0426209 0.0431024 nan
4.75952 0.0422779 0.0427388 nan
4.77956 0.0419389 0.0423768 nan
4.7996 0.041604 0.0420163 nan
4.81964 0.041273 0.041657 nan
4.83968 0.0409459 0.041299 nan
4.85972 0.0406225 0.040942 nan
4.87976 0.040303 0.0405859 nan
4.8998 0.0399871 0.0402307 nan
4.91984 0.0396749 0.039876 nan
4.93988 0.0393663 0.039522 nan
4.95992 0.0390613 0.0391683 nan
4.97996 0.0387597 0.0388148 nan
5 0.0384615 0.0384615 nan
