t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.762 0.0408436 -0.0632082 0.997156 0.0332905 -0.0516409 0.998115
0.763 0.044266 -0.0684315 0.996665 0.0360834 -0.055932 0.997787
0.764 0.0476929 -0.0736442 0.996136 0.0388808 -0.0602202 0.997433
0.765 0.0511247 -0.0788455 0.995568 0.041683 -0.0645052 0.997052
0.766 0.0545616 -0.0840345 0.994961 0.0444903 -0.0687868 0.996644
0.767 0.0580041 -0.0892106 0.994316 0.0473032 -0.0730648 0.99621
0.768 0.0614525 -0.0943728 0.993633 0.0501219 -0.0773389 0.995749
0.769 0.0649071 -0.0995204 0.992912 0.0529468 -0.081609 0.995262
0.77 0.0683683 -0.104652 0.992153 0.0557783 -0.0858747 0.994748
0.771 0.0718365 -0.109768 0.991355 0.0586167 -0.0901359 0.994207
0.772 0.0753119 -0.114867 0.99052 0.0614623 -0.0943924 0.993639
0.773 0.0787949 -0.119948 0.989647 0.0643155 -0.0986438 0.993045
0.774 0.0822859 -0.12501 0.988737 0.0671766 -0.10289 0.992424
0.775 0.0857852 -0.130053 0.987789 0.0700459 -0.107131 0.991776
0.776 0.0892932 -0.135075 0.986804 0.0729239 -0.111366 0.991102
0.777 0.09281 -0.140076 0.985781 0.0758109 -0.115595 0.9904
0.778 0.0963359 -0.145055 0.984722 0.0787072 -0.119818 0.989672
0.779 0.0998711 -0.150012 0.983625 0.0816131 -0.124035 0.988916
0.78 0.103416 -0.154945 0.982493 0.084529 -0.128245 0.988134
0.781 0.10697 -0.159855 0.981324 0.0874552 -0.132449 0.987324
0.782 0.110535 -0.164739 0.98012 0.0903921 -0.136645 0.986488
0.783 0.114109 -0.169598 0.97888 0.0933402 -0.140834 0.985624
0.784 0.117694 -0.174431 0.977605 0.0962997 -0.145015 0.984733
0.785 0.12129 -0.179236 0.976295 0.0992711 -0.149187 0.983815
0.786 0.124896 -0.184014 0.97495 0.102255 -0.153351 0.982869
0.787 0.128514 -0.188763 0.973571 0.105251 -0.157506 0.981896
0.788 0.132142 -0.193483 0.972158 0.10826 -0.161652 0.980895
0.789 0.135783 -0.198173 0.97071 0.111283 -0.165788 0.979866
0.79 0.139434 -0.202832 0.969229 0.114319 -0.169913 0.97881
0.791 0.143098 -0.207459 0.967715 0.11737 -0.174028 0.977726
0.792 0.146774 -0.212055 0.966168 0.120435 -0.178133 0.976614
0.793 0.150462 -0.216617 0.964588 0.123515 -0.182226 0.975473
0.794 0.154162 -0.221145 0.962975 0.126611 -0.186307 0.974305
0.795 0.157876 -0.225639 0.961331 0.129722 -0.190376 0.973109
0.796 0.161602 -0.230098 0.959654 0.132849 -0.194433 0.971884
0.797 0.165342 -0.23452 0.957946 0.135993 -0.198476 0.970631
0.798 0.169095 -0.238906 0.956206 0.139154 -0.202507 0.969349
0.799 0.172861 -0.243254 0.954435 0.142332 -0.206524 0.968039
0.8 0.176641 -0.247565 0.952633 0.145527 -0.210527 0.9667
0.801 0.180436 -0.251836 0.950801 0.148741 -0.214516 0.965333
0.802 0.184244 -0.256067 0.948938 0.151973 -0.21849 0.963937
0.803 0.188066 -0.260259 0.947046 0.155224 -0.222449 0.962512
0.804 0.191903 -0.264409 0.945124 0.158494 -0.226393 0.961058
0.805 0.195753 -0.268518 0.943174 0.161783 -0.23032 0.959574
0.806 0.199618 -0.272585 0.941194 0.165093 -0.234232 0.958062
0.807 0.203496 -0.27661 0.939187 0.168422 -0.238126 0.956521
0.808 0.207388 -0.280591 0.937152 0.171773 -0.242004 0.95495
0.809 0.211295 -0.284528 0.93509 0.175145 -0.245864 0.95335
0.81 0.215215 -0.288421 0.933 0.178538 -0.249707 0.95172
0.811 0.219149 -0.292269 0.930884 0.181953 -0.253531 0.950061
0.812 0.223097 -0.296071 0.928742 0.18539 -0.257336 0.948372
0.813 0.227059 -0.299827 0.926575 0.18885 -0.261121 0.946653
0.814 0.231035 -0.303536 0.924382 0.192333 -0.264886 0.944905
0.815 0.235025 -0.307197 0.922164 0.195839 -0.268629 0.943127
0.816 0.239029 -0.310811 0.919921 0.199369 -0.27235 0.941319
0.817 0.243047 -0.314375 0.917655 0.202923 -0.276048 0.939481
0.818 0.247079 -0.317891 0.915365 0.206501 -0.279722 0.937614
0.819 0.251124 -0.321356 0.913051 0.210104 -0.283371 0.935716
0.82 0.255184 -0.324771 0.910715 0.213732 -0.286996 0.933788
0.821 0.259257 -0.328135 0.908356 0.217386 -0.290594 0.93183
0.822 0.263344 -0.331447 0.905975 0.221066 -0.294166 0.929842
0.823 0.267445 -0.334707 0.903573 0.224772 -0.29771 0.927824
0.824 0.27156 -0.337913 0.901149 0.228504 -0.301225 0.925776
0.825 0.275689 -0.341067 0.898704 0.232263 -0.304712 0.923697
0.826 0.279831 -0.344166 0.896239 0.23605 -0.308169 0.921588
0.827 0.283987 -0.34721 0.893754 0.239865 -0.311595 0.919449
0.828 0.288157 -0.3502 0.89125 0.243707 -0.314989 0.917279
0.829 0.292339 -0.353134 0.888726 0.247578 -0.318352 0.915078
0.83 0.296534 -0.356012 0.886184 0.251478 -0.321682 0.912847
0.831 0.300742 -0.358834 0.883624 0.255407 -0.324977 0.910586
0.832 0.304962 -0.3616 0.881046 0.259365 -0.328239 0.908293
0.833 0.309194 -0.364309 0.878451 0.263353 -0.331465 0.90597
0.834 0.313438 -0.36696 0.875839 0.267372 -0.334655 0.903616
0.835 0.317694 -0.369554 0.873211 0.271421 -0.337809 0.901231
0.836 0.321961 -0.372089 0.870568 0.275501 -0.340925 0.898816
0.837 0.326238 -0.374566 0.867909 0.279612 -0.344002 0.896369
0.838 0.330527 -0.376984 0.865235 0.283755 -0.34704 0.893892
0.839 0.334826 -0.379343 0.862548 0.287929 -0.350037 0.891384
0.84 0.339135 -0.381641 0.859846 0.292133 -0.352992 0.888847
0.841 0.343454 -0.38388 0.857131 0.296369 -0.355903 0.886279
0.842 0.347783 -0.386058 0.854403 0.300636 -0.35877 0.883683
0.843 0.352122 -0.388175 0.851662 0.304933 -0.36159 0.881057
0.844 0.356469 -0.390231 0.84891 0.309261 -0.364363 0.878402
0.845 0.360826 -0.392225 0.846146 0.313619 -0.367087 0.875719
0.846 0.365191 -0.394157 0.843371 0.318008 -0.369761 0.873008
0.847 0.369565 -0.396026 0.840586 0.322427 -0.372383 0.870269
0.848 0.373947 -0.397833 0.83779 0.326876 -0.374953 0.867502
0.849 0.378337 -0.399576 0.834985 0.331355 -0.377469 0.864708
0.85 0.382735 -0.401255 0.832171 0.335864 -0.379929 0.861888
0.851 0.38714 -0.40287 0.829348 0.340403 -0.382333 0.85904
0.852 0.391552 -0.404421 0.826517 0.344972 -0.384679 0.856167
0.853 0.395971 -0.405908 0.823678 0.349571 -0.386965 0.853267
0.854 0.400395 -0.40733 0.820832 0.354199 -0.389191 0.850342
0.855 0.404825 -0.408687 0.81798 0.358856 -0.391354 0.847391
0.856 0.409261 -0.409979 0.815121 0.363543 -0.393455 0.844416
0.857 0.4137 -0.411207 0.812256 0.368259 -0.395491 0.841416
0.858 0.418145 -0.412369 0.809386 0.373004 -0.397461 0.838391
0.859 0.422592 -0.413466 0.806511 0.377778 -0.399363 0.835342
0.86 0.427043 -0.414498 0.803632 0.382581 -0.401198 0.83227
0.861 0.431497 -0.415464 0.800749 0.387412 -0.402962 0.829174
0.862 0.435953 -0.416364 0.797862 0.392271 -0.404656 0.826056
0.863 0.440412 -0.417199 0.794973 0.397156 -0.406277 0.822916
0.864 0.444871 -0.417967 0.792081 0.402067 -0.407826 0.819756
0.865 0.449331 -0.41867 0.789187 0.407001 -0.4093 0.816577
0.866 0.453792 -0.419306 0.786291 0.411957 -0.4107 0.81338
0.867 0.458253 -0.419876 0.783395 0.416935 -0.412023 0.810166
0.868 0.462713 -0.420379 0.780498 0.421933 -0.413269 0.806935
0.869 0.467173 -0.420816 0.777601 0.426949 -0.414437 0.80369
0.87 0.47163 -0.421186 0.774705 0.431983 -0.415526 0.800431
0.871 0.476087 -0.421489 0.771809 0.437033 -0.416535 0.79716
0.872 0.48054 -0.421724 0.768915 0.442097 -0.417462 0.793876
0.873 0.484991 -0.421893 0.766022 0.447175 -0.418306 0.790582
0.874 0.489439 -0.421994 0.763132 0.452266 -0.419067 0.787279
0.875 0.493883 -0.422028 0.760245 0.457368 -0.419744 0.783967
0.876 0.498323 -0.421994 0.757361 0.462479 -0.420335 0.780647
0.877 0.502758 -0.421893 0.75448 0.467599 -0.42084 0.777322
0.878 0.507187 -0.421724 0.751604 0.472726 -0.421257 0.773991
0.879 0.511611 -0.421489 0.748732 0.477859 -0.421585 0.770655
0.88 0.516029 -0.421186 0.745865 0.482997 -0.421824 0.767317
0.881 0.520439 -0.420816 0.743004 0.488138 -0.421972 0.763977
0.882 0.524842 -0.420379 0.740148 0.493281 -0.422028 0.760635
0.883 0.529237 -0.419876 0.737299 0.498425 -0.421991 0.757294
0.884 0.533623 -0.419306 0.734456 0.503569 -0.421862 0.753954
0.885 0.538 -0.41867 0.73162 0.50871 -0.421641 0.750617
0.886 0.542367 -0.417967 0.728792 0.513848 -0.421328 0.747282
0.887 0.546723 -0.417199 0.725971 0.518979 -0.420924 0.743953
0.888 0.551069 -0.416364 0.723159 0.524104 -0.420429 0.740629
0.889 0.555404 -0.415464 0.720356 0.52922 -0.419845 0.737312
0.89 0.559726 -0.414498 0.717561 0.534326 -0.41917 0.734003
0.891 0.564036 -0.413466 0.714776 0.53942 -0.418407 0.730703
0.892 0.568333 -0.412369 0.712001 0.5445 -0.417555 0.727413
0.893 0.572616 -0.411207 0.709237 0.549566 -0.416615 0.724135
0.894 0.576884 -0.409979 0.706483 0.554614 -0.415587 0.720869
0.895 0.581138 -0.408687 0.70374 0.559645 -0.414472 0.717616
0.896 0.585377 -0.40733 0.701009 0.564655 -0.41327 0.714379
0.897 0.589599 -0.405908 0.698291 0.569644 -0.411982 0.711157
0.898 0.593806 -0.404421 0.695584 0.57461 -0.410608 0.707952
0.899 0.597995 -0.40287 0.69289 0.579551 -0.409149 0.704765
0.9 0.602166 -0.401255 0.69021 0.584466 -0.407605 0.701598
0.901 0.60632 -0.399576 0.687543 0.589353 -0.405977 0.69845
0.902 0.610454 -0.397833 0.684891 0.59421 -0.404266 0.695324
0.903 0.61457 -0.396026 0.682253 0.599036 -0.402471 0.692221
0.904 0.618665 -0.394157 0.679629 0.60383 -0.400593 0.689142
0.905 0.622739 -0.392225 0.677021 0.60859 -0.398633 0.686087
0.906 0.626792 -0.390231 0.674429 0.613314 -0.396592 0.683057
0.907 0.630824 -0.388175 0.671852 0.618004 -0.394472 0.680052
0.908 0.634833 -0.386058 0.669292 0.622656 -0.392273 0.677073
0.909 0.638818 -0.38388 0.666748 0.627272 -0.389998 0.674121
0.91 0.64278 -0.381641 0.664222 0.631849 -0.387646 0.671196
0.911 0.646717 -0.379343 0.661713 0.636388 -0.385221 0.668298
0.912 0.65063 -0.376984 0.659222 0.640887 -0.382722 0.665428
0.913 0.654516 -0.374566 0.656749 0.645346 -0.380151 0.662585
0.914 0.658377 -0.372089 0.654294 0.649764 -0.377509 0.659772
0.915 0.66221 -0.369554 0.651859 0.65414 -0.374798 0.656988
0.916 0.666016 -0.36696 0.649443 0.658472 -0.372019 0.654233
0.917 0.669794 -0.364309 0.647046 0.662762 -0.369173 0.651508
0.918 0.673543 -0.3616 0.64467 0.667007 -0.366261 0.648814
0.919 0.677263 -0.358834 0.642314 0.671207 -0.363285 0.64615
0.92 0.680952 -0.356012 0.639979 0.675361 -0.360246 0.643518
0.921 0.684611 -0.353134 0.637665 0.679468 -0.357145 0.640918
0.922 0.688238 -0.3502 0.635373 0.683528 -0.353983 0.63835
0.923 0.691834 -0.34721 0.633103 0.687539 -0.350762 0.635815
0.924 0.695397 -0.344166 0.630855 0.691502 -0.347483 0.633312
0.925 0.698927 -0.341067 0.62863 0.695414 -0.344147 0.630844
0.926 0.702423 -0.337913 0.626427 0.699276 -0.340756 0.628409
0.927 0.705885 -0.334707 0.624248 0.703087 -0.33731 0.626009
0.928 0.709312 -0.331447 0.622093 0.706846 -0.333811 0.623644
0.929 0.712705 -0.328135 0.619961 0.710554 -0.33026 0.621312
0.93 0.716063 -0.324771 0.617852 0.714211 -0.326657 0.619015
0.931 0.719386 -0.321356 0.615767 0.717817 -0.323004 0.616751
0.932 0.722674 -0.317891 0.613706 0.721372 -0.319302 0.614521
0.933 0.725925 -0.314375 0.611669 0.724876 -0.315552 0.612325
0.934 0.729141 -0.310811 0.609656 0.728329 -0.311754 0.610163
0.935 0.73232 -0.307197 0.607667 0.731732 -0.307911 0.608034
0.936 0.735463 -0.303536 0.605703 0.735085 -0.304022 0.605938
0.937 0.738569 -0.299827 0.603763 0.738386 -0.300089 0.603876
0.938 0.741638 -0.296071 0.601847 0.741638 -0.296113 0.601846
0.939 0.74467 -0.292269 0.599956 0.744839 -0.292094 0.59985
0.94 0.747664 -0.288421 0.59809 0.74799 -0.288035 0.597886
0.941 0.75062 -0.284528 0.596249 0.751092 -0.283935 0.595955
0.942 0.753537 -0.280591 0.594434 0.754143 -0.279796 0.594056
0.943 0.756417 -0.27661 0.592643 0.757144 -0.275619 0.59219
0.944 0.759257 -0.272585 0.590877 0.760095 -0.271406 0.590356
0.945 0.762059 -0.268518 0.589137 0.762997 -0.267155 0.588554
0.946 0.764821 -0.264409 0.587423 0.76585 -0.26287 0.586785
0.947 0.767544 -0.260259 0.585734 0.768652 -0.258551 0.585047
0.948 0.770226 -0.256067 0.584071 0.771406 -0.254199 0.583341
0.949 0.772869 -0.251836 0.582434 0.77411 -0.249815 0.581666
0.95 0.775471 -0.247565 0.580823 0.776765 -0.2454 0.580023
0.951 0.778033 -0.243254 0.579239 0.77937 -0.240954 0.578412
0.952 0.780553 -0.238906 0.577681 0.781925 -0.236479 0.576832
0.953 0.78303 -0.23452 0.57615 0.78443 -0.231976 0.575285
0.954 0.785463 -0.230098 0.574648 0.786883 -0.227444 0.573771
0.955 0.787851 -0.225639 0.573174 0.789284 -0.222885 0.57229
0.956 0.790193 -0.221145 0.571729 0.791631 -0.218299 0.570842
0.957 0.792489 -0.216617 0.570314 0.793926 -0.213687 0.569428
0.958 0.794736 -0.212055 0.56893 0.796166 -0.20905 0.568048
0.959 0.796934 -0.207459 0.567576 0.798351 -0.204388 0.566703
0.96 0.799082 -0.202832 0.566254 0.800481 -0.199702 0.565392
0.961 0.801179 -0.198173 0.564964 0.802555 -0.194992 0.564117
0.962 0.803223 -0.193483 0.563707 0.804571 -0.19026 0.562878
0.963 0.805214 -0.188763 0.562483 0.80653 -0.185506 0.561674
0.964 0.807151 -0.184014 0.561294 0.808431 -0.180731 0.560507
0.965 0.809032 -0.179236 0.560139 0.810273 -0.175935 0.559376
0.966 0.810857 -0.174431 0.559019 0.812055 -0.17112 0.558283
0.967 0.812624 -0.169598 0.557934 0.813777 -0.166285 0.557226
0.968 0.814333 -0.164739 0.556887 0.815438 -0.161432 0.556208
0.969 0.815981 -0.159855 0.555876 0.817038 -0.15656 0.555228
0.97 0.81757 -0.154945 0.554903 0.818575 -0.151672 0.554286
0.971 0.819096 -0.150012 0.553967 0.820049 -0.146767 0.553383
0.972 0.820559 -0.145055 0.553071 0.821459 -0.141847 0.55252
0.973 0.821959 -0.140076 0.552214 0.822806 -0.136911 0.551696
0.974 0.823294 -0.135075 0.551397 0.824087 -0.131961 0.550912
0.975 0.824562 -0.130053 0.550621 0.825302 -0.126997 0.550168
0.976 0.825764 -0.12501 0.549885 0.826454 -0.12202 0.549464
0.977 0.826902 -0.119948 0.549189 0.827543 -0.117031 0.548798
0.978 0.827978 -0.114867 0.548531 0.828573 -0.112029 0.548168
0.979 0.828995 -0.109768 0.547909 0.829547 -0.107016 0.547572
0.98 0.829956 -0.104652 0.547322 0.830467 -0.101992 0.54701
0.981 0.830863 -0.0995204 0.546768 0.831335 -0.0969572 0.54648
0.982 0.831719 -0.0943728 0.546245 0.832154 -0.0919125 0.545979
0.983 0.832527 -0.0892106 0.545751 0.832927 -0.0868583 0.545507
0.984 0.833289 -0.0840345 0.545286 0.833656 -0.0817953 0.545062
0.985 0.834008 -0.0788455 0.544847 0.834344 -0.0767238 0.544642
0.986 0.834688 -0.0736442 0.544432 0.834993 -0.0716444 0.544246
0.987 0.835329 -0.0684315 0.544041 0.835607 -0.0665577 0.543872
0.988 0.835936 -0.0632082 0.543671 0.836186 -0.0614641 0.543518
0.989 0.83651 -0.0579752 0.543321 0.836735 -0.0563643 0.543184
0.99 0.837055 -0.0527332 0.542989 0.837256 -0.0512586 0.542866
0.991 0.837573 -0.0474831 0.542673 0.837751 -0.0461477 0.542565
0.992 0.838067 -0.0422256 0.542372 0.838222 -0.0410321 0.542278
0.993 0.838539 -0.0369617 0.542085 0.838674 -0.0359123 0.542003
0.994 0.838993 -0.031692 0.541809 0.839107 -0.0307888 0.54174
0.995 0.839431 -0.0264175 0.541543 0.839524 -0.0256622 0.541486
0.996 0.839855 -0.0211389 0.541285 0.839929 -0.0205329 0.541239
0.997 0.840268 -0.015857 0.541033 0.840324 -0.0154015 0.541
0.998 0.840674 -0.0105727 0.540787 0.84071 -0.0102685 0.540765
0.999 0.841074 -0.00528675 0.540544 0.841092 -0.00513453 0.540533
1 0.841471 -2.27374e-13 0.540302 0.841471 -1.42109e-14 0.540302
