x exact spline
0.727728 0.0702262 0.0702294
0.72973 0.0698683 0.0698716
0.731732 0.0695131 0.0695164
0.733734 0.0691605 0.0691638
0.735736 0.0688104 0.0688139
0.737738 0.068463 0.0684666
0.73974 0.0681182 0.0681218
0.741742 0.0677758 0.0677795
0.743744 0.067436 0.0674398
0.745746 0.0670987 0.0671025
0.747748 0.0667638 0.0667678
0.74975 0.0664314 0.0664354
0.751752 0.0661014 0.0661055
0.753754 0.0657738 0.065778
0.755756 0.0654486 0.0654528
0.757758 0.0651257 0.06513
0.75976 0.0648052 0.0648096
0.761762 0.0644869 0.0644914
0.763764 0.0641709 0.0641755
0.765766 0.0638572 0.0638618
0.767768 0.0635458 0.0635504
0.76977 0.0632366 0.0632412
0.771772 0.0629295 0.0629342
0.773774 0.0626247 0.0626293
0.775776 0.062322 0.0623266
0.777778 0.0620214 0.0620259
0.77978 0.061723 0.0617274
0.781782 0.0614267 0.0614309
0.783784 0.0611324 0.0611364
0.785786 0.0608403 0.060844
0.787788 0.0605501 0.0605535
0.78979 0.060262 0.0602651
0.791792 0.0599759 0.0599785
0.793794 0.0596918 0.0596939
0.795796 0.0594097 0.0594112
0.797798 0.0591295 0.0591303
0.7998 0.0588512 0.0588513
0.801802 0.0585749 0.0585741
0.803804 0.0583005 0.0582988
0.805806 0.0580279 0.0580252
0.807808 0.0577573 0.0577535
0.80981 0.0574885 0.0574835
0.811812 0.0572215 0.0572153
0.813814 0.0569563 0.0569489
0.815816 0.0566929 0.0566843
0.817818 0.0564313 0.0564214
0.81982 0.0561715 0.0561603
0.821822 0.0559135 0.0559009
0.823824 0.0556572 0.0556432
0.825826 0.0554026 0.0553873
0.827828 0.0551497 0.0551332
0.82983 0.0548985 0.0548807
0.831832 0.054649 0.0546299
0.833834 0.0544011 0.0543809
0.835836 0.0541549 0.0541335
0.837838 0.0539104 0.0538879
0.83984 0.0536674 0.0536439
0.841842 0.0534261 0.0534016
0.843844 0.0531864 0.0531609
0.845846 0.0529482 0.0529219
0.847848 0.0527116 0.0526846
0.84985 0.0524766 0.0524489
0.851852 0.0522431 0.0522148
0.853854 0.0520111 0.0519824
0.855856 0.0517807 0.0517516
0.857858 0.0515517 0.0515224
0.85986 0.0513242 0.0512948
0.861862 0.0510982 0.0510688
0.863864 0.0508737 0.0508444
0.865866 0.0506506 0.0506216
0.867868 0.050429 0.0504003
0.86987 0.0502088 0.0501806
0.871872 0.04999 0.0499625
0.873874 0.0497726 0.049746
0.875876 0.0495566 0.0495309
0.877878 0.0493419 0.0493175
0.87988 0.0491287 0.0491055
0.881882 0.0489168 0.0488951
0.883884 0.0487062 0.0486862
0.885886 0.048497 0.0484788
0.887888 0.0482891 0.0482729
0.88989 0.0480825 0.0480685
0.891892 0.0478772 0.0478656
0.893894 0.0476732 0.0476641
0.895896 0.0474705 0.0474642
0.897898 0.047269 0.0472657
0.8999 0.0470688 0.0470686
0.901902 0.0468699 0.046873
0.903904 0.0466721 0.0466789
0.905906 0.0464757 0.0464861
0.907908 0.0462804 0.0462947
0.90991 0.0460863 0.0461046
0.911912 0.0458935 0.0459158
0.913914 0.0457018 0.0457283
0.915916 0.0455113 0.045542
0.917918 0.045322 0.045357
0.91992 0.0451339 0.0451732
0.921922 0.0449468 0.0449905
0.923924 0.044761 0.0448089
0.925926 0.0445763 0.0446285
0.927928 0.0443926 0.0444491
0.92993 0.0442101 0.0442707
0.931932 0.0440288 0.0440934
0.933934 0.0438485 0.0439171
0.935936 0.0436693 0.0437417
0.937938 0.0434911 0.0435673
0.93994 0.0433141 0.0433937
0.941942 0.0431381 0.043221
0.943944 0.0429632 0.0430492
0.945946 0.0427893 0.0428782
0.947948 0.0426164 0.0427079
0.94995 0.0424446 0.0425384
0.951952 0.0422738 0.0423697
0.953954 0.042104 0.0422016
0.955956 0.0419352 0.0420342
0.957958 0.0417675 0.0418675
0.95996 0.0416007 0.0417013
0.961962 0.0414349 0.0415357
0.963964 0.04127 0.0413707
0.965966 0.0411062 0.0412062
0.967968 0.0409433 0.0410422
0.96997 0.0407813 0.0408787
0.971972 0.0406203 0.0407156
0.973974 0.0404602 0.0405529
0.975976 0.0403011 0.0403905
0.977978 0.0401429 0.0402286
0.97998 0.0399856 0.0400669
0.981982 0.0398292 0.0399056
0.983984 0.0396737 0.0397444
0.985986 0.0395191 0.0395836
0.987988 0.0393654 0.0394229
0.98999 0.0392126 0.0392624
0.991992 0.0390607 0.0391021
0.993994 0.0389096 0.0389418
0.995996 0.0387594 0.0387817
0.997998 0.03861 0.0386216
1 0.0384615 0.0384615
